PROVINCIA,CANTON,PARROQUIA,ZONA,SECTOR,MANZANA,No. DE VIVIENDA,No. DE HOGAR,Area urbana o rural,Tipo de vivienda,Via de acceso principal a la vivienda,Condición de ocupación de la vivienda,Material predominante del techo o cubierta de la vivienda,Material predominante de las paredes exteriores de la vivienda,Material predominante del piso de la vivienda,Estado del techo de la vivienda,Estado de las paredes de la vivienda,Estado del piso de la vivienda,De donde proviene principalmente el agua que recibe la vivienda,El agua que recibe la vivienda es,El servicio higiénico o escusado de la vivienda es,El servicio de luz (energía) eléctrica de la vivienda proviene principalmente,Dispone la vivienda de medidor de energía eléctrica,Cuantos focos ahorradores tiene su vivienda,Cuantos focos convencionales tiene su vivienda,Principalmente como elimina la basura,"Sin contar la cocina, el baño y cuartos de negocio.Cuantos cuartos tiene la vivienda","Todas las personas que duermen en esta vivienda, cocinan sus alimentos en forma conjunta y comparten un mismo gasto para la comida",nro_hogares,Total_Personas,Total de dormitorios de la vivienda,Total de emigrantes,Identificador de manzana,viv_id,hog_id,Nombre de provincia,Nombre de cantón,Nombre de parroquia,sec_id
Orellana,01,51,999,001,02,027,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Ladrillo o cemento,Bueno,Bueno,Bueno,De pozo,No recibe agua por tubería sino por otros medios,Letrina,Red de empresa eléctrica de servicio público,De uso exclusivo,3,5,Por carro recolector,5 cuartos,Si,1,10,5 dormitorios,#NULL !,22015199900102,22015199900102027,220151999001020271,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,02,028,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,0,1,Por carro recolector,2 cuartos,Si,1,1,1 dormitorio,#NULL !,22015199900102,22015199900102028,220151999001020281,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,03,001,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,4 cuartos,Si,1,7,4 dormitorios,#NULL !,22015199900103,22015199900103001,220151999001030011,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,03,002,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,3 cuartos,Si,1,3,2 dormitorios,#NULL !,22015199900103,22015199900103002,220151999001030021,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,03,004,1,Area rural,Casa/Villa,Calle o carretera empedrada,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,2 cuartos,Si,1,2,2 dormitorios,#NULL !,22015199900103,22015199900103004,220151999001030041,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,03,005,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Bueno,Bueno,De pozo,No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,1 cuarto,Si,1,2,1 dormitorio,#NULL !,22015199900103,22015199900103005,220151999001030051,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,04,001,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,No tiene,#NULL !,#NULL !,#NULL !,La entierran,2 cuartos,Si,1,6,1 dormitorio,#NULL !,22015199900104,22015199900104001,220151999001040011,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,04,002,1,Area rural,Choza,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,"Palma, paja u hoja",Caña no revestida,Tierra,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La entierran,1 cuarto,Si,1,7,Sin dormitorio,#NULL !,22015199900104,22015199900104002,220151999001040021,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,04,003,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tierra,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La entierran,3 cuartos,Si,1,1,1 dormitorio,#NULL !,22015199900104,22015199900104003,220151999001040031,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,04,004,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,No tiene,#NULL !,#NULL !,#NULL !,De otra forma,1 cuarto,Si,1,6,1 dormitorio,#NULL !,22015199900104,22015199900104004,220151999001040041,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,04,005,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,No tiene,#NULL !,#NULL !,#NULL !,La queman,2 cuartos,Si,1,6,2 dormitorios,#NULL !,22015199900104,22015199900104005,220151999001040051,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,05,003,1,Area rural,Rancho,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,3,0,La queman,2 cuartos,Si,1,7,1 dormitorio,#NULL !,22015199900105,22015199900105003,220151999001050031,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,05,004,1,Area rural,Rancho,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,6,0,La queman,4 cuartos,Si,1,7,4 dormitorios,#NULL !,22015199900105,22015199900105004,220151999001050041,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,06,004,1,Area rural,Casa/Villa,"Camino, sendero, chaquiñan",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La arrojan en terreno baldío o quebrada,2 cuartos,Si,1,4,2 dormitorios,#NULL !,22015199900106,22015199900106004,220151999001060041,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,06,007,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Generador de luz (Planta eléctrica),#NULL !,11,0,La queman,3 cuartos,Si,1,9,3 dormitorios,#NULL !,22015199900106,22015199900106007,220151999001060071,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,07,001,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,No tiene,#NULL !,#NULL !,#NULL !,La queman,4 cuartos,Si,1,8,4 dormitorios,#NULL !,22015199900107,22015199900107001,220151999001070011,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,07,003,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,No tiene,#NULL !,#NULL !,#NULL !,La queman,4 cuartos,Si,1,9,4 dormitorios,#NULL !,22015199900107,22015199900107003,220151999001070031,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,001,07,004,1,Area rural,Casa/Villa,Calle o carretera lastrada o de tierra,Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Bueno,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Generador de luz (Planta eléctrica),#NULL !,0,4,La queman,5 cuartos,Si,1,2,2 dormitorios,#NULL !,22015199900107,22015199900107004,220151999001070041,ORELLANA,ORELLANA,DAYUMA,220151999001
Orellana,01,51,999,002,01,001,1,Area rural,Rancho,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,Otro (Agua lluvia/albarrada),"Por tubería fuera de la vivienda pero dentro del edificio, lote o terreno",Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,Por carro recolector,1 cuarto,Si,1,3,1 dormitorio,#NULL !,22015199900201,22015199900201001,220151999002010011,ORELLANA,ORELLANA,DAYUMA,220151999002
Orellana,01,51,999,002,01,002,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Ladrillo o bloque,Ladrillo o cemento,Bueno,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,8,0,Por carro recolector,4 cuartos,Si,1,4,3 dormitorios,#NULL !,22015199900201,22015199900201002,220151999002010021,ORELLANA,ORELLANA,DAYUMA,220151999002
Orellana,01,51,999,002,01,004,1,Area rural,Rancho,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,3,4,Por carro recolector,4 cuartos,Si,1,4,2 dormitorios,#NULL !,22015199900201,22015199900201004,220151999002010041,ORELLANA,ORELLANA,DAYUMA,220151999002
Orellana,01,51,999,002,01,005,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Ladrillo o bloque,Ladrillo o cemento,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso común a varias viviendas,3,0,Por carro recolector,5 cuartos,Si,1,7,4 dormitorios,#NULL !,22015199900201,22015199900201005,220151999002010051,ORELLANA,ORELLANA,DAYUMA,220151999002
Orellana,01,51,999,002,01,006,1,Area rural,Rancho,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,2,1,Por carro recolector,3 cuartos,Si,1,3,2 dormitorios,#NULL !,22015199900201,22015199900201006,220151999002010061,ORELLANA,ORELLANA,DAYUMA,220151999002
Orellana,01,51,999,002,01,007,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,3,1,Por carro recolector,5 cuartos,Si,1,1,2 dormitorios,#NULL !,22015199900201,22015199900201007,220151999002010071,ORELLANA,ORELLANA,DAYUMA,220151999002
Orellana,01,51,999,002,01,008,1,Area rural,Rancho,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Letrina,Red de empresa eléctrica de servicio público,De uso exclusivo,0,3,La queman,3 cuartos,Si,1,3,2 dormitorios,#NULL !,22015199900201,22015199900201008,220151999002010081,ORELLANA,ORELLANA,DAYUMA,220151999002
Orellana,01,51,999,002,01,009,1,Area rural,Rancho,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Letrina,Red de empresa eléctrica de servicio público,De uso exclusivo,6,2,Por carro recolector,4 cuartos,Si,1,6,4 dormitorios,#NULL !,22015199900201,22015199900201009,220151999002010091,ORELLANA,ORELLANA,DAYUMA,220151999002
Orellana,01,51,999,002,01,010,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Ladrillo o bloque,"Cerámica, baldosa, vinil o mármol",Regular,Regular,Regular,Otro (Agua lluvia/albarrada),No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,Por carro recolector,2 cuartos,Si,1,4,2 dormitorios,#NULL !,22015199900201,22015199900201010,220151999002010101,ORELLANA,ORELLANA,DAYUMA,220151999002
Orellana,01,51,999,002,01,011,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,"Por tubería fuera del edificio, lote o terreno",Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,10,1,Por carro recolector,5 cuartos,Si,1,5,4 dormitorios,#NULL !,22015199900201,22015199900201011,220151999002010111,ORELLANA,ORELLANA,DAYUMA,220151999002
Orellana,01,51,999,002,01,012,1,Area rural,Rancho,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Bueno,Bueno,Bueno,"De río, vertiente, acequia o canal","Por tubería fuera del edificio, lote o terreno",No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,5,0,Por carro recolector,3 cuartos,Si,1,3,2 dormitorios,#NULL !,22015199900201,22015199900201012,220151999002010121,ORELLANA,ORELLANA,DAYUMA,220151999002
Orellana,01,51,999,002,01,014,1,Area rural,Rancho,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal","Por tubería fuera del edificio, lote o terreno",No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,0,4,Por carro recolector,3 cuartos,Si,1,1,2 dormitorios,#NULL !,22015199900201,22015199900201014,220151999002010141,ORELLANA,ORELLANA,DAYUMA,220151999002
Orellana,01,51,999,002,01,015,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Malo,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,2,2,Por carro recolector,5 cuartos,Si,1,4,3 dormitorios,1,22015199900201,22015199900201015,220151999002010151,ORELLANA,ORELLANA,DAYUMA,220151999002
Orellana,01,51,999,002,01,016,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,5,2,Por carro recolector,6 cuartos,Si,1,7,4 dormitorios,#NULL !,22015199900201,22015199900201016,220151999002010161,ORELLANA,ORELLANA,DAYUMA,220151999002
Orellana,01,51,999,002,01,017,1,Area rural,Rancho,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,4,0,Por carro recolector,2 cuartos,Si,1,3,1 dormitorio,#NULL !,22015199900201,22015199900201017,220151999002010171,ORELLANA,ORELLANA,DAYUMA,220151999002
Orellana,01,51,999,002,01,018,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,6,0,Por carro recolector,4 cuartos,Si,1,4,3 dormitorios,#NULL !,22015199900201,22015199900201018,220151999002010181,ORELLANA,ORELLANA,DAYUMA,220151999002
Orellana,01,51,999,002,01,019,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Ladrillo o bloque,Tabla sin tratar,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo ciego,Red de empresa eléctrica de servicio público,De uso exclusivo,5,0,Por carro recolector,4 cuartos,Si,1,4,3 dormitorios,#NULL !,22015199900201,22015199900201019,220151999002010191,ORELLANA,ORELLANA,DAYUMA,220151999002
Orellana,01,51,999,002,01,020,1,Area rural,Rancho,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso común a varias viviendas,2,3,Por carro recolector,5 cuartos,Si,1,7,4 dormitorios,#NULL !,22015199900201,22015199900201020,220151999002010201,ORELLANA,ORELLANA,DAYUMA,220151999002
Orellana,01,51,999,002,01,021,1,Area rural,Mediagua,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Regular,Regular,Regular,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,Por carro recolector,2 cuartos,Si,1,3,1 dormitorio,#NULL !,22015199900201,22015199900201021,220151999002010211,ORELLANA,ORELLANA,DAYUMA,220151999002
Orellana,01,51,999,002,01,022,1,Area rural,Mediagua,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Ladrillo o bloque,Ladrillo o cemento,Malo,Malo,Malo,De pozo,No recibe agua por tubería sino por otros medios,No tiene,Red de empresa eléctrica de servicio público,No tiene medidor,3,0,Por carro recolector,2 cuartos,Si,1,4,1 dormitorio,#NULL !,22015199900201,22015199900201022,220151999002010221,ORELLANA,ORELLANA,DAYUMA,220151999002
Orellana,01,51,999,002,01,023,1,Area rural,Casa/Villa,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Ladrillo o bloque,Ladrillo o cemento,Regular,Regular,Regular,De pozo,No recibe agua por tubería sino por otros medios,Conectado a pozo séptico,Red de empresa eléctrica de servicio público,De uso exclusivo,2,0,Por carro recolector,4 cuartos,Si,1,3,2 dormitorios,#NULL !,22015199900201,22015199900201023,220151999002010231,ORELLANA,ORELLANA,DAYUMA,220151999002
Orellana,01,51,999,002,01,024,1,Area rural,Rancho,"Calle o carretera adoquinada, pavimentada o de concreto",Ocupada con personas presentes,Zinc,Madera,Tabla sin tratar,Malo,Malo,Malo,"De río, vertiente, acequia o canal",No recibe agua por tubería sino por otros medios,Letrina,Red de empresa eléctrica de servicio público,De uso exclusivo,2,2,La entierran,4 cuartos,Si,1,3,3 dormitorios,1,22015199900201,22015199900201024,220151999002010241,ORELLANA,ORELLANA,DAYUMA,220151999002
